tourist_id,guide_id,rating,is_poor_experience,norm_dot_product,language_match,budget_alignment,pace_alignment,predicted_rating,rating_source
T60354,G100,2.94,False,0.3379,0.0,0.92,0.878,3.4,synthetic
T72410,G813,3.31,False,0.3809,0.0,0.71,0.925,3.65,synthetic
T12050,G999,4.39,False,0.7001,0.0,0.819,0.952,5.0,synthetic
T64557,G999,4.43,False,0.7509,1.0,0.687,0.851,5.0,synthetic
T27008,G330,3.96,False,0.5032,0.0,0.969,0.943,4.49,synthetic
T35272,G540,4.32,False,0.716,0.0,0.848,0.903,5.0,synthetic
T49438,G351,4.39,False,0.6252,0.0,0.99,0.894,5.0,synthetic
T93165,G522,4.16,False,0.5685,1.0,0.976,0.966,5.0,synthetic
T62797,G266,4.4,False,0.743,1.0,0.922,0.992,5.0,synthetic
T82098,G331,4.17,False,0.6931,0.0,0.968,0.916,5.0,synthetic
T24068,G882,4.37,False,0.5969,0.0,0.821,0.976,5.0,synthetic
T25720,G369,3.73,False,0.4597,0.0,0.926,0.976,4.2,synthetic
T40493,G100,2.34,True,0.2218,0.0,0.894,0.986,2.65,synthetic
T31798,G331,4.43,False,0.7614,0.0,0.986,0.934,5.0,synthetic
T68540,G817,4.48,False,0.6411,1.0,0.721,0.852,5.0,synthetic
T49438,G649,4.68,False,0.5589,1.0,0.85,0.903,5.0,synthetic
T11110,G290,4.56,False,0.6621,1.0,0.964,0.884,5.0,synthetic
T98254,G580,4.38,False,0.6422,1.0,0.997,0.858,5.0,synthetic
T29315,G629,3.31,False,0.4273,0.0,0.7,0.939,3.96,synthetic
T49017,G623,2.81,False,0.2848,1.0,0.841,0.821,3.34,synthetic
T15130,G813,4.4,False,0.8469,0.0,0.807,0.979,5.0,synthetic
T73654,G813,4.4,False,0.7923,1.0,0.942,0.852,5.0,synthetic
T34727,G450,4.12,False,0.4894,0.0,0.924,0.869,4.38,synthetic
T27793,G602,4.31,False,0.5992,0.0,0.833,0.893,5.0,synthetic
T18444,G649,2.65,False,0.2903,0.0,0.881,0.905,3.09,synthetic
T70443,G619,1.99,True,0.17,0.0,0.732,0.977,2.29,synthetic
T85832,G999,4.32,False,0.5654,0.0,0.712,0.914,4.85,synthetic
T63011,G976,4.52,False,0.8818,0.0,0.92,0.803,5.0,synthetic
T98294,G434,3.41,False,0.4194,0.0,0.985,0.898,3.94,synthetic
T25866,G603,3.52,False,0.4041,1.0,0.824,0.751,4.1,synthetic
T35369,G463,2.8,False,0.2613,1.0,0.925,0.904,3.2,synthetic
T26199,G603,4.2,False,0.4534,1.0,0.88,0.983,4.46,synthetic
T89281,G266,4.6,False,0.6586,0.0,0.881,0.709,5.0,synthetic
T59508,G987,3.89,False,0.509,0.0,0.91,0.741,4.49,synthetic
T40828,G603,3.94,False,0.4948,0.0,0.797,0.831,4.4,synthetic
T11669,G244,3.79,False,0.4697,0.0,0.876,0.914,4.25,synthetic
T88636,G636,2.49,True,0.2574,0.0,0.853,0.822,2.86,synthetic
T29315,G976,3.65,False,0.3733,1.0,0.98,0.882,3.94,synthetic
T37767,G331,4.57,False,0.6986,0.0,0.972,0.899,5.0,synthetic
T73654,G540,4.47,False,0.7737,1.0,0.778,0.983,5.0,synthetic
T61989,G774,3.24,False,0.3741,0.0,0.723,0.954,3.62,synthetic
T31798,G982,4.29,False,0.8781,0.0,0.734,0.921,5.0,synthetic
T15224,G702,4.59,False,0.7006,0.0,0.989,0.87,5.0,synthetic
T98294,G724,3.09,False,0.3383,0.0,0.985,0.97,3.42,synthetic
T87840,G649,2.98,False,0.3257,1.0,0.936,0.914,3.63,synthetic
T86019,G702,3.42,False,0.4074,0.0,0.885,0.935,3.85,synthetic
T35115,G457,4.04,False,0.4751,1.0,0.998,0.735,4.58,synthetic
T98696,G999,3.42,False,0.3471,1.0,0.775,0.91,3.74,synthetic
T15224,G982,4.47,False,0.7712,0.0,0.989,0.942,5.0,synthetic
T97897,G369,2.9,False,0.3423,0.0,0.94,0.833,3.42,synthetic
T94896,G985,4.19,False,0.5635,0.0,0.979,0.921,4.88,synthetic
T49252,G525,4.52,False,0.6814,0.0,0.963,0.846,5.0,synthetic
T66479,G192,3.02,False,0.33,1.0,0.904,0.795,3.63,synthetic
T52432,G515,3.33,False,0.3177,1.0,0.958,0.933,3.58,synthetic
T24972,G887,4.39,False,0.6333,0.0,0.961,0.986,5.0,synthetic
T13840,G873,2.74,False,0.3196,0.0,0.825,0.698,3.24,synthetic
T88943,G619,2.16,True,0.2196,0.0,0.706,0.707,2.58,synthetic
T67577,G463,2.6,False,0.2656,0.0,0.836,0.96,2.93,synthetic
T83574,G522,3.95,False,0.4844,0.0,0.813,0.86,4.33,synthetic
T91067,G619,4.28,False,0.6084,1.0,0.855,0.879,5.0,synthetic
