tourist_id,guide_id,rating,is_poor_experience,norm_dot_product,language_match,budget_alignment,pace_alignment,predicted_rating,rating_source
TSG27995,GTH113,4.17,False,0.513,1.0,0.779,0.909,4.82,synthetic
TTH31821,GSG929,3.41,False,0.4269,0.0,0.783,0.788,3.95,synthetic
TSG38873,GTH455,4.47,False,0.7116,0.0,0.857,0.917,5.0,synthetic
TSG66689,GTH912,2.84,False,0.3257,0.0,0.878,0.92,3.32,synthetic
TSG89873,GTH330,4.49,False,0.6654,0.0,0.785,0.983,5.0,synthetic
TSG46208,GTH344,4.29,False,0.6987,0.0,0.89,0.911,5.0,synthetic
TSG58710,GTH912,4.37,False,0.7311,0.0,0.818,0.862,5.0,synthetic
TTH22934,GTH303,4.37,False,0.6627,0.0,0.962,0.886,5.0,synthetic
TSG58473,GTH122,4.37,False,0.5932,0.0,0.904,0.9,5.0,synthetic
TSG68833,GTH344,4.18,False,0.5005,0.0,0.889,0.946,4.46,synthetic
TSG63480,GTH563,4.37,False,0.6716,1.0,0.81,0.993,5.0,synthetic
TSG34149,GSG286,4.43,False,0.7505,1.0,0.754,0.773,5.0,synthetic
TTH28242,GSG983,4.2,False,0.6235,0.0,0.938,0.801,5.0,synthetic
TSG27008,GTH400,4.28,False,0.5395,0.0,0.829,0.949,4.71,synthetic
TSG60342,GTH400,4.31,False,0.6484,0.0,0.743,0.774,5.0,synthetic
TTH44116,GSG736,4.53,False,0.5865,0.0,0.914,0.996,5.0,synthetic
TSG80202,GSG983,4.3,False,0.8518,0.0,0.842,0.949,5.0,synthetic
TTH63347,GSG101,4.21,False,0.5733,0.0,0.716,0.811,4.89,synthetic
TTH94896,GTH864,3.34,False,0.4431,0.0,0.979,0.885,4.09,synthetic
TTH23579,GSG882,3.95,False,0.5239,0.0,0.932,0.888,4.61,synthetic
TSG52310,GTH553,4.28,False,0.4688,1.0,0.891,0.878,4.54,synthetic
TSG82098,GSG424,4.31,False,0.5656,0.0,0.828,0.727,4.85,synthetic
TTH48393,GTH455,4.48,False,0.6532,0.0,0.904,0.921,5.0,synthetic
TSG66689,GTH303,2.14,True,0.1903,0.0,0.878,0.982,2.45,synthetic
TTH16265,GSG101,4.12,False,0.5003,0.0,0.912,0.976,4.47,synthetic
TTH88372,GSG978,4.61,False,0.726,1.0,0.739,0.926,5.0,synthetic
TTH82105,GTH719,4.03,False,0.5482,0.0,0.983,0.884,4.77,synthetic
TTH29198,GTH996,4.62,False,0.53,1.0,0.958,0.994,4.97,synthetic
TSG66479,GSG101,4.42,False,0.575,1.0,0.816,0.992,5.0,synthetic
TTH98254,GSG302,4.41,False,0.7635,1.0,0.723,0.921,5.0,synthetic
TTH61629,GTH104,4.4,False,0.6323,0.0,0.969,0.78,5.0,synthetic
TTH35272,GTH303,3.93,False,0.5044,0.0,0.872,0.856,4.47,synthetic
TSG55239,GTH720,4.41,False,0.6152,0.0,0.9,0.939,5.0,synthetic
TSG65381,GTH513,1.74,True,0.0961,0.0,0.77,0.983,1.82,synthetic
TTH83860,GTH996,1.88,True,0.125,1.0,0.996,0.811,2.31,synthetic
TTH87564,GTH661,4.4,False,0.602,0.0,0.96,0.925,5.0,synthetic
TTH65994,GTH719,4.41,False,0.7708,0.0,0.955,0.956,5.0,synthetic
TSG49017,GSG424,2.66,False,0.225,1.0,0.981,0.905,2.98,synthetic
TTH77065,GTH884,3.55,False,0.434,0.0,0.942,0.995,4.04,synthetic
TTH40619,GSG967,4.08,False,0.5235,0.0,0.877,0.82,4.59,synthetic
TSG11669,GTH513,2.02,True,0.1303,0.0,0.876,0.795,2.03,synthetic
TTH31821,GSG345,4.42,False,0.5771,0.0,0.923,0.808,4.94,synthetic
TTH15224,GSG837,4.48,False,0.7509,0.0,0.709,0.928,5.0,synthetic
TTH70443,GTH342,3.73,False,0.4119,1.0,0.872,0.939,4.18,synthetic
TSG76736,GTH428,3.67,False,0.4716,0.0,0.912,0.957,4.28,synthetic
TSG67670,GSG919,3.39,False,0.3949,1.0,0.917,0.999,4.08,synthetic
TSG28116,GTH223,4.63,False,0.7188,0.0,0.909,0.906,5.0,synthetic
TSG87000,GSG838,3.59,False,0.4621,0.0,0.852,0.954,4.21,synthetic
TSG80452,GSG221,3.69,False,0.4626,1.0,0.983,0.719,4.49,synthetic
TTH18950,GTH268,4.38,False,0.5817,0.0,0.986,0.988,5.0,synthetic
TTH80305,GSG929,3.31,False,0.3709,0.0,0.971,0.967,3.63,synthetic
TSG17123,GSG424,3.53,False,0.3735,1.0,0.994,0.796,3.93,synthetic
TTH22203,GTH223,3.82,False,0.4924,0.0,0.997,0.923,4.42,synthetic
TSG62944,GTH864,2.15,True,0.199,0.0,0.989,0.984,2.52,synthetic
TSG56269,GSG424,3.77,False,0.4978,0.0,0.924,0.795,4.43,synthetic
TSG32458,GSG302,4.41,False,0.5076,1.0,0.837,0.897,4.79,synthetic
TSG38873,GTH344,3.83,False,0.4887,0.0,0.717,0.778,4.34,synthetic
TTH57774,GSG967,3.59,False,0.4213,0.0,0.836,0.901,3.93,synthetic
TSG58690,GTH342,4.01,False,0.4859,0.0,0.879,0.966,4.37,synthetic
TTH74517,GSG424,4.24,False,0.7352,0.0,0.824,0.978,5.0,synthetic
TSG77051,GTH513,3.61,False,0.4656,0.0,0.896,0.703,4.2,synthetic
TSG56269,GSG847,4.27,False,0.5505,0.0,0.924,0.92,4.79,synthetic
TSG79065,GSG736,4.61,False,0.6123,0.0,0.942,0.926,5.0,synthetic
TSG17123,GSG424,3.49,False,0.3735,1.0,0.994,0.796,3.93,synthetic
TSG48155,GSG929,3.35,False,0.3864,1.0,0.856,0.758,3.99,synthetic
TTH27750,GTH996,4.48,False,0.6109,0.0,0.745,0.987,5.0,synthetic
TSG61727,GSG372,4.62,False,0.6062,0.0,0.89,0.887,5.0,synthetic
TSG61989,GTH342,3.84,False,0.4724,0.0,0.863,0.851,4.26,synthetic
TSG75987,GSG735,4.41,False,0.7245,1.0,0.829,0.949,5.0,synthetic
TTH40828,GTH503,3.72,False,0.4774,0.0,0.937,0.861,4.3,synthetic
TSG20637,GTH268,4.13,False,0.5504,0.0,0.71,0.858,4.75,synthetic
TSG78692,GSG331,4.45,False,0.6062,0.0,0.692,0.83,5.0,synthetic
TTH82105,GTH330,2.42,True,0.2368,0.0,0.877,0.857,2.73,synthetic
TSG82098,GTH864,4.51,False,0.7015,0.0,0.968,0.84,5.0,synthetic
TTH56805,GTH592,2.33,True,0.1896,1.0,0.911,0.913,2.74,synthetic
TTH40828,GSG882,3.54,False,0.4592,0.0,0.937,0.985,4.2,synthetic
TTH29523,GSG424,4.68,False,0.6554,0.0,0.865,0.823,5.0,synthetic
TSG20413,GTH553,3.52,False,0.3848,1.0,0.947,0.957,4.02,synthetic
TSG75987,GSG705,4.43,False,0.6747,1.0,0.829,0.814,5.0,synthetic
TSG58005,GSG882,4.44,False,0.6865,1.0,0.969,0.918,5.0,synthetic
TTH13840,GTH455,3.41,False,0.3992,0.0,0.965,0.834,3.8,synthetic
TSG40493,GTH592,2.08,True,0.1344,1.0,0.894,0.884,2.37,synthetic
TSG49252,GSG847,4.37,False,0.8838,1.0,0.823,0.874,5.0,synthetic
TSG22696,GSG424,3.24,False,0.3864,0.0,0.864,0.847,3.7,synthetic
TSG54378,GSG302,3.84,False,0.4872,0.0,0.907,0.958,4.38,synthetic
TSG60354,GSG424,3.78,False,0.4524,0.0,0.92,0.974,4.16,synthetic
TTH68873,GSG838,3.97,False,0.5121,0.0,0.962,0.914,4.54,synthetic
TTH87847,GTH400,4.39,False,0.8251,0.0,0.86,0.978,5.0,synthetic
TTH25814,GSG604,3.98,False,0.5151,0.0,0.77,0.922,4.53,synthetic
TSG35381,GSG372,4.0,False,0.5089,0.0,0.908,0.931,4.51,synthetic
TSG44544,GTH303,4.32,False,0.761,0.0,0.686,0.901,5.0,synthetic
TSG48155,GSG250,3.17,False,0.3476,1.0,0.996,0.762,3.75,synthetic
TSG46493,GSG372,4.4,False,0.7404,1.0,0.731,0.951,5.0,synthetic
TSG25760,GTH400,3.73,False,0.4162,0.0,0.77,0.838,3.88,synthetic
TTH10861,GSG286,3.52,False,0.4641,0.0,0.896,0.866,4.21,synthetic
TSG60870,GSG345,4.06,False,0.5494,0.0,0.859,0.966,4.78,synthetic
TSG26350,GSG929,4.45,False,0.6124,0.0,0.79,0.936,5.0,synthetic
TTH34241,GTH344,4.42,False,0.6292,1.0,0.787,0.99,5.0,synthetic
TSG25720,GSG424,3.64,False,0.5031,0.0,0.926,0.998,4.49,synthetic
TSG55239,GSG881,4.39,False,0.5638,1.0,0.82,0.936,5.0,synthetic
TTH74789,GSG372,4.05,False,0.5259,0.0,0.919,0.97,4.63,synthetic
TTH73858,GTH342,4.36,False,0.7203,0.0,0.95,0.911,5.0,synthetic
TSG66479,GTH592,3.24,False,0.3564,1.0,0.956,0.939,3.83,synthetic
TSG58690,GSG882,4.44,False,0.5559,1.0,0.879,0.942,5.0,synthetic
TSG54128,GTH330,4.56,False,0.5745,1.0,0.869,0.78,5.0,synthetic
TTH34832,GTH661,4.43,False,0.7211,0.0,0.849,0.983,5.0,synthetic
TSG19119,GTH455,4.44,False,0.5883,0.0,0.968,0.933,5.0,synthetic
TSG59310,GSG221,3.05,False,0.3075,1.0,0.991,0.69,3.48,synthetic
TSG36437,GSG887,2.94,False,0.3015,1.0,0.875,0.916,3.46,synthetic
